df_index,dfBtwn1,dfBtwn2,dfBtwn3,dfBtwn4,dfBtwn5,dfBtwn6,dfBtwn7,dfBtwn8,dfBtwn9,dfBtwn10
1,161.4,199.5,215.7,224.6,230.2,234,236.8,238.9,240.5,241.9
2,18.51,19,19.16,19.25,19.3,19.33,19.35,19.37,19.38,19.4
3,10.13,9.552,9.277,9.117,9.013,8.941,8.887,8.845,8.812,8.786
4,7.709,6.944,6.591,6.388,6.256,6.163,6.094,6.041,5.999,5.964
5,6.608,5.786,5.409,5.192,5.05,4.95,4.876,4.818,4.772,4.735
6,5.987,5.143,4.757,4.534,4.387,4.284,4.207,4.147,4.099,4.06
7,5.591,4.737,4.347,4.12,3.972,3.866,3.787,3.726,3.677,3.637
8,5.318,4.459,4.066,3.838,3.687,3.581,3.5,3.438,3.388,3.347
9,5.117,4.256,3.863,3.633,3.482,3.374,3.293,3.23,3.179,3.137
10,4.965,4.103,3.708,3.478,3.326,3.217,3.135,3.072,3.02,2.978
11,4.844,3.982,3.587,3.357,3.204,3.095,3.012,2.948,2.896,2.854
12,4.747,3.885,3.49,3.259,3.106,2.996,2.913,2.849,2.796,2.753
13,4.667,3.806,3.411,3.179,3.025,2.915,2.832,2.767,2.714,2.671
14,4.6,3.739,3.344,3.112,2.958,2.848,2.764,2.699,2.646,2.602
15,4.543,3.682,3.287,3.056,2.901,2.79,2.707,2.641,2.588,2.544
16,4.494,3.634,3.239,3.007,2.852,2.741,2.657,2.591,2.538,2.494
17,4.451,3.592,3.197,2.965,2.81,2.699,2.614,2.548,2.494,2.45
18,4.414,3.555,3.16,2.928,2.773,2.661,2.577,2.51,2.456,2.412
19,4.381,3.522,3.127,2.895,2.74,2.628,2.544,2.477,2.423,2.378
20,4.351,3.493,3.098,2.866,2.711,2.599,2.514,2.447,2.393,2.348
21,4.325,3.467,3.072,2.84,2.685,2.573,2.488,2.42,2.366,2.321
22,4.301,3.443,3.049,2.817,2.661,2.549,2.464,2.397,2.342,2.297
23,4.279,3.422,3.028,2.796,2.64,2.528,2.442,2.375,2.32,2.275
24,4.26,3.403,3.009,2.776,2.621,2.508,2.423,2.355,2.3,2.255
25,4.242,3.385,2.991,2.759,2.603,2.49,2.405,2.337,2.282,2.236
26,4.225,3.369,2.975,2.743,2.587,2.474,2.388,2.321,2.265,2.22
27,4.21,3.354,2.96,2.728,2.572,2.459,2.373,2.305,2.25,2.204
28,4.196,3.34,2.947,2.714,2.558,2.445,2.359,2.291,2.236,2.19
29,4.183,3.328,2.934,2.701,2.545,2.432,2.346,2.278,2.223,2.177
30,4.171,3.316,2.922,2.69,2.534,2.421,2.334,2.266,2.211,2.165
31,4.16,3.305,2.911,2.679,2.523,2.409,2.323,2.255,2.199,2.153
32,4.149,3.295,2.901,2.668,2.512,2.399,2.313,2.244,2.189,2.142
33,4.139,3.285,2.892,2.659,2.503,2.389,2.303,2.235,2.179,2.133
34,4.13,3.276,2.883,2.65,2.494,2.38,2.294,2.225,2.17,2.123
35,4.121,3.267,2.874,2.641,2.485,2.372,2.285,2.217,2.161,2.114
36,4.113,3.259,2.866,2.634,2.477,2.364,2.277,2.209,2.153,2.106
37,4.105,3.252,2.859,2.626,2.47,2.356,2.27,2.201,2.145,2.098
38,4.098,3.245,2.852,2.619,2.463,2.349,2.262,2.194,2.138,2.091
39,4.091,3.238,2.845,2.612,2.456,2.342,2.255,2.187,2.131,2.084
40,4.085,3.232,2.839,2.606,2.449,2.336,2.249,2.18,2.124,2.077
41,4.079,3.226,2.833,2.6,2.443,2.33,2.243,2.174,2.118,2.071
42,4.073,3.22,2.827,2.594,2.438,2.324,2.237,2.168,2.112,2.065
43,4.067,3.214,2.822,2.589,2.432,2.318,2.232,2.163,2.106,2.059
44,4.062,3.209,2.816,2.584,2.427,2.313,2.226,2.157,2.101,2.054
45,4.057,3.204,2.812,2.579,2.422,2.308,2.221,2.152,2.096,2.049
46,4.052,3.2,2.807,2.574,2.417,2.304,2.216,2.147,2.091,2.044
47,4.047,3.195,2.802,2.57,2.413,2.299,2.212,2.143,2.086,2.039
48,4.043,3.191,2.798,2.565,2.409,2.295,2.207,2.138,2.082,2.035
49,4.038,3.187,2.794,2.561,2.404,2.29,2.203,2.134,2.077,2.03
50,4.034,3.183,2.79,2.557,2.4,2.286,2.199,2.13,2.073,2.026
